 obsval
W01 15.70492331750468
W02 13.327884680033
W03 16.08815612366225
W04 15.41873437453096
W05 11.97426064525038
W06 13.66946593439493
W07 9.649758489832704
W08 9.273496706474434
W09 9.87221753415326
W10 13.98172886907403
W11 4.74713943651284
W12 5.789967005616544
W13 11.56520858760619
W14 3.303968393228031
W15 6.837838868697827
W16 3.700864277744397
W17 10.25052904619539
U01 15.73706903185719
U02 13.35984240270245
U03 16.11624498412633
U04 15.44696536469265
U05 12.01273415392132
U06 13.69846988265012
U07 9.683769830295716
U08 9.309150077993325
U09 9.905818326094948
U10 14.01032080867065
U11 4.780273274866417
U12 5.824198907603701
U13 11.59412730377502
U14 3.327543715055282
U15 6.882131376197159
U16 3.735177317449528
U17 10.27963909738614
CHDFLOW -131214.8099178736
PF -140338.8734039545
DS -719864.7453234899
UW02 0.03195772266944985
UW08 0.03565337151889025
UW15 0.04429250749933189
